GFDL_varname,CMOR_varname,standard_name,long_name,mipTable,cmor_units
tnhusmp,tnhusmp,tendency_of_specific_humidity_due_to_model_physics,Tendency of Specific Humidity due to Model Physics,CFmon,s-1,
tnhusscpbl,tnhusscpbl,tendency_of_specific_humidity_due_to_stratiform_cloud_and_precipitation_and_boundary_layer_mixing,Tendency of Specific Humidity Due to Stratiform Cloud and Precipitation and Boundary Layer Mixing,CFmon,s-1,
tnkebto,tnkebto,tendency_of_ocean_eddy_kinetic_energy_content_due_to_parameterized_eddy_advection,Tendency of Ocean Eddy Kinetic Energy Content due to Bolus Transport,Oclim,W m-2,
tnpeo,tnpeo,tendency_of_ocean_potential_energy_content,Tendency of Ocean Potential Energy Content,Oclim,W m-2,
tnpeot,tnpeot,tendency_of_ocean_potential_energy_content_due_to_tides,Tendency of Ocean Potential Energy Content due to Tides,Oclim,W m-2,
tnpeotb,tnpeotb,tendency_of_ocean_potential_energy_content_due_to_background,Tendency of Ocean Potential Energy Content due to Background,Oclim,W m-2,
tnt,tnt,tendency_of_air_temperature,Tendency of Air Temperature,CFmon,K s-1,
tnta,tnta,tendency_of_air_temperature_due_to_advection,Tendency of Air Temperature due to Advection,CFmon,K s-1,
tntc,tntc,tendency_of_air_temperature_due_to_convection,Tendency of Air Temperature due to Convection,CFmon,K s-1,
tntmp,tntmp,tendency_of_air_temperature_due_to_model_physics,Tendency of Air Temperature due to Model Physics,CFmon,K s-1,
tntr,tntr,tendency_of_air_temperature_due_to_radiative_heating,Tendency of Air Temperature due to Radiative Heating,CFmon,K s-1,
tntscpbl,tntscpbl,tendency_of_air_temperature_due_to_stratiform_cloud_and_precipitation_and_boundary_layer_mixing,Tendency of Air Temperature Due to Stratiform Cloud and Precipitation and Boundary Layer Mixing,CFmon,K s-1,
tpf,tpf,permafrost_layer_thickness,Permafrost Layer Thickness,LImon,m,
tran,tran,transpiration_flux,Transpiration,Lmon,kg m-2 s-1,
treeFrac,treeFrac,area_fraction,Tree Cover Fraction,Lmon,%,
treeFracPrimDec,treeFracPrimDec,area_fraction,Percentage Cover by Primary Deciduous Tree,Lmon,%,
treeFracPrimEver,treeFracPrimEver,area_fraction,Percentage Cover by Primary Evergreen Trees,Lmon,%,
treeFracSecDec,treeFracSecDec,area_fraction,Percentage Cover by Secondary Deciduous Trees,Lmon,%,
treeFracSecEver,treeFracSecEver,area_fraction,Percentage Cover by Secondary Evergreen Trees,Lmon,%,
ts,ts,surface_temperature,Surface Temperature,Amon,K,
tsl,tsl,soil_temperature,Temperature of Soil,Lmon,K,
tslsi,tslsi,surface_temperature,Surface Temperature Where Land or Sea Ice,day,K,
tslsi,tslsi,surface_temperature,Surface Temperature Where Land or Sea Ice,3hr,K,
tos,tos,sea_surface_temperature,Sea Surface Temperature,3hr,degC,
ua,ua,eastward_wind,Eastward Wind,6hrLev,m s-1,
ua,ua,eastward_wind,Eastward Wind,Amon,m s-1,
ua,ua,eastward_wind,Eastward Wind,CFday,m s-1,
ua,ua,eastward_wind,Eastward Wind,day,m s-1,
uas,uas,eastward_wind,Eastward Near-Surface Wind Speed,3hr,m s-1,
uas,uas,eastward_wind,Eastward Near-Surface Wind,Amon,m s-1,
uas,uas,eastward_wind,Eastward Near-Surface Wind,day,m s-1,
va,va,northward_wind,Northward Wind,6hrLev,m s-1,
va,va,northward_wind,Northward Wind,Amon,m s-1,
va,va,northward_wind,Northward Wind,CFday,m s-1,
va,va,northward_wind,Northward Wind,day,m s-1,
vas,vas,northward_wind,Northward Near-Surface Wind,Amon,m s-1,
vas,vas,northward_wind,Northward Near-Surface Wind,day,m s-1,
vas,vas,northward_wind,Northward Near-Surface Wind Speed,3hr,m s-1,
volcello,volcello,ocean_volume,Ocean Grid-Cell Volume,Ofx,m3,
wap500,wap500,lagrangian_tendency_of_air_pressure,omega (=dp/dt),CFday,Pa s-1,
wap,wap,lagrangian_tendency_of_air_pressure,omega (=dp/dt),Amon,Pa s-1,
wap,wap,lagrangian_tendency_of_air_pressure,omega (=dp/dt),CFday,Pa s-1,
wap,wap,lagrangian_tendency_of_air_pressure,omega (=dp/dt),day,Pa s-1,
zfull,zfull,height_above_reference_ellipsoid,Altitude of Model Full-Levels,CF3hr,m,
zg,zg,geopotential_height,Geopotential Height,Amon,m,
zg,zg,geopotential_height,Geopotential Height,CFday,m,
zg,zg,geopotential_height,Geopotential Height,day,m,
zhalf,zhalf,height_above_reference_ellipsoid,Altitude of Model Half-Levels,CF3hr,m,
nLitterSurf,nLitterSurf,surface_litter_mass_content_of_nitrogen,Nitrogen Mass in above ground litter (non CWD),Emon,kg m-2,
nLitterSubSurf,nLitterSubSurf,subsurface_litter_mass_content_of_nitrogen,Nitrogen Mass in below ground litter (non CWD),Emon,kg m-2,
tsland,tsland,surface_temperature,Surface Temperature,Eday,K,
dissicnatos,dissicnatos,mole_concentration_of_dissolved_inorganic_carbon_natural_analogue_in_sea_water,Surface Natural Dissolved Inorganic Carbon Concentration,Omon,mol m-3,
dissicabioos,dissicabioos,mole_concentration_of_dissolved_inorganic_carbon_abiotic_analogue_in_sea_water,Surface Abiotic Dissolved Inorganic Carbon Concentration,Omon,mol m-3,
dissi14cabioos,dissi14cabioos,mole_concentration_of_dissolved_inorganic_14C_in_sea_water,Surface Abiotic Dissolved Inorganic 14Carbon Concentration,Omon,mol m-3,
dissi13cos,dissi13cos,mole_concentration_of_dissolved_inorganic_13C_in_sea_water,Surface Dissolved Inorganic 13Carbon Concentration,Omon,mol m-3,
dissocos,dissocos,mole_concentration_of_dissolved_organic_carbon_in_sea_water,Surface Dissolved Organic Carbon Concentration,Omon,mol m-3,
phycos,phycos,mole_concentration_of_phytoplankton_expressed_as_carbon_in_sea_water,Surface Phytoplankton Carbon Concentration,Omon,mol m-3,
zoocos,zoocos,mole_concentration_of_zooplankton_expressed_as_carbon_in_sea_water,Surface Zooplankton Carbon Concentration,Omon,mol m-3,
baccos,baccos,mole_concentration_of_bacteria_expressed_as_carbon_in_sea_water,Surface Bacterial Carbon Concentration,Omon,mol m-3,
detocos,detocos,mole_concentration_of_organic_detritus_expressed_as_carbon_in_sea_water,Surface Detrital Organic Carbon Concentration,Omon,mol m-3,
calcos,calcos,mole_concentration_of_calcite_expressed_as_carbon_in_sea_water,Surface Calcite Concentration,Omon,mol m-3,
aragos,aragos,mole_concentration_of_aragonite_expressed_as_carbon_in_sea_water,Surface Aragonite Concentration,Omon,mol m-3,
phydiatos,phydiatos,mole_concentration_of_diatoms_expressed_as_carbon_in_sea_water,Surface Mole Concentration of Diatoms expressed as Carbon in sea water,Omon,mol m-3,
phydiazos,phydiazos,mole_concentration_of_diazotrophs_expressed_as_carbon_in_sea_water,Surface Mole Concentration of Diazotrophs expressed as Carbon in sea water,Omon,mol m-3,
phycalcos,phycalcos,mole_concentration_of_calcareous_phytoplankton_expressed_as_carbon_in_sea_water,Surface Mole Concentration of Calcareous Phytoplankton expressed as Carbon in sea water,Omon,mol m-3,
phypicoos,phypicoos,mole_concentration_of_picophytoplankton_expressed_as_carbon_in_sea_water,Surface Mole Concentration of Picophytoplankton expressed as Carbon in sea water,Omon,mol m-3,
phymiscos,phymiscos,mole_concentration_of_miscellaneous_phytoplankton_expressed_as_carbon_in_sea_water,Surface Mole Concentration of Miscellaneous Phytoplankton expressed as Carbon in sea water,Omon,mol m-3,
zmicroos,zmicroos,mole_concentration_of_microzooplankton_expressed_as_carbon_in_sea_water,Surface Mole Concentration of Microzooplankton expressed as Carbon in sea water,Omon,mol m-3,
zmesoos,zmesoos,mole_concentration_of_mesozooplankton_expressed_as_carbon_in_sea_water,Surface Mole Concentration of Mesozooplankton expressed as Carbon in sea water,Omon,mol m-3,
zmiscos,zmiscos,mole_concentration_of_miscellaneous_zooplankton_expressed_as_carbon_in_sea_water,Surface Mole Concentration of Other Zooplankton expressed as Carbon in sea water,Omon,mol m-3,
talkos,talkos,sea_water_alkalinity_expressed_as_mole_equivalent,Surface Total Alkalinity,Omon,mol m-3,
talknatos,talknatos,sea_water_alkalinity_natural_analogue_expressed_as_mole_equivalent,Surface Natural Total Alkalinity,Omon,mol m-3,
phos,phos,sea_water_ph_reported_on_total_scale,Surface pH,Omon,1,
phnatos,phnatos,sea_water_ph_natural_analogue_reported_on_total_scale,Surface Natural pH,Omon,1,
phabioos,phabioos,sea_water_ph_abiotic_analogue_reported_on_total_scale,Surface Abiotic pH,Omon,1,
o2os,o2os,mole_concentration_of_dissolved_molecular_oxygen_in_sea_water,Surface Dissolved Oxygen Concentration,Omon,mol m-3,
o2satos,o2satos,mole_concentration_of_dissolved_molecular_oxygen_in_sea_water_at_saturation,Surface Dissolved Oxygen Concentration at Saturation,Omon,mol m-3,
no3os,no3os,mole_concentration_of_nitrate_in_sea_water,Surface Dissolved Nitrate Concentration,Omon,mol m-3,
nh4os,nh4os,mole_concentration_of_ammonium_in_sea_water,Surface Dissolved Ammonium Concentration,Omon,mol m-3,
po4os,po4os,mole_concentration_of_dissolved_inorganic_phosphorus_in_sea_water,Surface Total Dissolved Inorganic Phosphorus Concentration,Omon,mol m-3,
dfeos,dfeos,mole_concentration_of_dissolved_iron_in_sea_water,Surface Dissolved Iron Concentration,Omon,mol m-3,
sios,sios,mole_concentration_of_dissolved_inorganic_silicon_in_sea_water,Surface Total Dissolved Inorganic Silicon Concentration,Omon,mol m-3,
chlos,chlos,mass_concentration_of_phytoplankton_expressed_as_chlorophyll_in_sea_water,Surface Mass Concentration of Total Phytoplankton expressed as Chlorophyll in sea water,Omon,kg m-3,
chldiatos,chldiatos,mass_concentration_of_diatoms_expressed_as_chlorophyll_in_sea_water,Surface Mass Concentration of Diatoms expressed as Chlorophyll in sea water,Omon,kg m-3,
chldiazos,chldiazos,mass_concentration_of_diazotrophs_expressed_as_chlorophyll_in_sea_water,Surface Mass Concentration of Diazotrophs expressed as Chlorophyll in sea water,Omon,kg m-3,
chlcalcos,chlcalcos,mass_concentration_of_calcareous_phytoplankton_expressed_as_chlorophyll_in_sea_water,Surface Mass Concentration of Calcareous Phytoplankton expressed as Chlorophyll in sea water,Omon,kg m-3,
chlpicoos,chlpicoos,mass_concentration_of_picophytoplankton_expressed_as_chlorophyll_in_sea_water,Surface Mass Concentration of Picophytoplankton expressed as Chlorophyll in sea water,Omon,kg m-3,
chlmiscos,chlmiscos,mass_concentration_of_miscellaneous_phytoplankton_expressed_as_chlorophyll_in_sea_water,Surface Mass Concentration of Other Phytoplankton expressed as Chlorophyll in sea water,Omon,kg m-3,
ponos,ponos,mole_concentration_of_particulate_organic_matter_expressed_as_nitrogen_in_sea_water,Surface Mole Concentration of Particulate Organic Matter expressed as Nitrogen in sea water,Omon,mol m-3,
popos,popos,mole_concentration_of_particulate_organic_matter_expressed_as_phosphorus_in_sea_water,Surface Mole Concentration of Particulate Organic Matter expressed as Phosphorus in sea water,Omon,mol m-3,
bfeos,bfeos,mole_concentration_of_particulate_organic_matter_expressed_as_iron_in_sea_water,Surface Mole Concentration of Particulate Organic Matter expressed as Iron in sea water,Omon,mol m-3,
bsios,bsios,mole_concentration_of_particulate_organic_matter_expressed_as_silicon_in_sea_water,Surface Mole Concentration of Particulate Organic Matter expressed as Silicon in sea water,Omon,mol m-3,
phynos,phynos,mole_concentration_of_phytoplankton_expressed_as_nitrogen_in_sea_water,Surface Mole Concentration of Phytoplankton Nitrogen in sea water,Omon,mol m-3,
phypos,phypos,mole_concentration_of_phytoplankton_expressed_as_phosphorus_in_sea_water,Surface Mole Concentration of Total Phytoplankton expressed as Phosphorus in sea water,Omon,mol m-3,
phyfeos,phyfeos,mole_concentration_of_phytoplankton_expressed_as_iron_in_sea_water,Surface Mole Concentration of Total Phytoplankton expressed as Iron in Sea Water,Omon,mol m-3,
physios,physios,mole_concentration_of_phytoplankton_expressed_as_silicon_in_sea_water,Surface Mole Concentration of Total Phytoplankton expressed as Silicon in sea water,Omon,mol m-3,
dmsos,dmsos,mole_concentration_of_dimethyl_sulfide_in_sea_water,Surface Mole Concentration of Dimethyl Sulphide in sea water,Omon,mol m-3,
co3os,co3os,mole_concentration_of_carbonate_expressed_as_carbon_in_sea_water,Surface Carbonate Ion Concentration,Omon,mol m-3,
co3natos,co3natos,mole_concentration_of_carbonate_natural_analogue_expressed_as_carbon_in_sea_water,Surface Natural Carbonate Ion Concentration,Omon,mol m-3,
co3abioos,co3abioos,mole_concentration_of_carbonate_abiotic_analogue_expressed_as_carbon_in_sea_water,Surface Abiotic Carbonate Ion Concentration,Omon,mol m-3,
co3satcalcos,co3satcalcos,mole_concentration_of_carbonate_expressed_as_carbon_at_equilibrium_with_pure_calcite_in_sea_water,Surface Mole Concentration of Carbonate Ion in Equilibrium with Pure Calcite in sea water,Omon,mol m-3,
co3sataragos,co3sataragos,mole_concentration_of_carbonate_expressed_as_carbon_at_equilibrium_with_pure_aragonite_in_sea_water,Surface Mole Concentration of Carbonate Ion in Equilibrium with Pure Aragonite in sea water,Omon,mol m-3,
dissi13c,dissi13c,mole_concentration_of_dissolved_inorganic_13C_in_sea_water,Dissolved Inorganic 13Carbon Concentration,Omon,mol m-3,
zmicro,zmicro,mole_concentration_of_microzooplankton_expressed_as_carbon_in_sea_water,Mole Concentration of Microzooplankton expressed as Carbon in sea water,Omon,mol m-3,
zmisc,zmisc,mole_concentration_of_miscellaneous_zooplankton_expressed_as_carbon_in_sea_water,Mole Concentration of Other Zooplankton expressed as Carbon in sea water,Omon,mol m-3,
phabio,phabio,sea_water_ph_abiotic_analogue_reported_on_total_scale,Abiotic pH,Omon,1,
intppnitrate,intppnitrate,net_primary_mole_productivity_of_biomass_expressed_as_carbon_due_to_nitrate_utilization,Primary Organic Carbon Production by Phytoplankton Based on Nitrate Uptake Alone,Omon,mol m-2 s-1,
epn100,epn100,sinking_mole_flux_of_particulate_organic_nitrogen_in_sea_water,Downward Flux of Particulate Nitrogen,Omon,mol m-2 s-1,
epp100,epp100,sinking_mole_flux_of_particulate_organic_phosphorus_in_sea_water,Downward Flux of Particulate Phosphorus,Omon,mol m-2 s-1,
intdic,intdic,ocean_mass_content_of_dissolved_inorganic_carbon,Dissolved Inorganic Carbon Content,Omon,kg m-2,
intdoc,intdoc,ocean_mass_content_of_dissolved_organic_carbon,Dissolved Organic Carbon Content,Omon,kg m-2,
spco2nat,spco2nat,surface_carbon_dioxide_natural_analogue_partial_pressure_difference_between_sea_water_and_air,Natural Surface Aqueous Partial Pressure of CO2,Omon,Pa,
spco2abio,spco2abio,surface_carbon_dioxide_abiotic_analogue_partial_pressure_difference_between_sea_water_and_air,Abiotic Surface Aqueous Partial Pressure of CO2,Omon,Pa,
dpco2nat,dpco2nat,surface_carbon_dioxide_natural_analogue_partial_pressure_difference_between_sea_water_and_air,Natural Delta PCO2,Omon,Pa,
dpco2abio,dpco2abio,surface_carbon_dioxide_abiotic_analogue_partial_pressure_difference_between_sea_water_and_air,Abiotic Delta PCO2,Omon,Pa,
dissi13c,dissi13c,mole_concentration_of_dissolved_inorganic_13C_in_sea_water,Dissolved Inorganic 13Carbon Concentration,Oyr,mol m-3,
zmicro,zmicro,mole_concentration_of_microzooplankton_expressed_as_carbon_in_sea_water,Mole Concentration of Microzooplankton expressed as Carbon in sea water,Oyr,mol m-3,
zmeso,zmeso,mole_concentration_of_mesozooplankton_expressed_as_carbon_in_sea_water,Mole Concentration of Mesozooplankton expressed as Carbon in sea water,Oyr,mol m-3,
zmeso,zmeso,mole_concentration_of_mesozooplankton_expressed_as_carbon_in_sea_water,Mole Concentration of Mesozooplankton expressed as Carbon in sea water,Omon,mol m-3,
zmisc,zmisc,mole_concentration_of_miscellaneous_zooplankton_expressed_as_carbon_in_sea_water,Mole Concentration of Other Zooplankton expressed as Carbon in sea water,Oyr,mol m-3,
phnat,phnat,sea_water_ph_natural_analogue_reported_on_total_scale,Natural pH,Oyr,1,
phnat,phnat,sea_water_ph_natural_analogue_reported_on_total_scale,Natural pH,Omon,1,
phabio,phabio,sea_water_ph_abiotic_analogue_reported_on_total_scale,Abiotic pH,Oyr,1,
co3nat,co3nat,mole_concentration_of_carbonate_natural_analogue_expressed_as_carbon_in_sea_water,Natural Carbonate Ion Concentration,Oyr,mol m-3,
co3nat,co3nat,mole_concentration_of_carbonate_natural_analogue_expressed_as_carbon_in_sea_water,Natural Carbonate Ion Concentration,Omon,mol m-3,
co3abio,co3abio,mole_concentration_of_carbonate_abiotic_analogue_expressed_as_carbon_in_sea_water,Abiotic Carbonate Ion Concentration,Oyr,mol m-3,
co3abio,co3abio,mole_concentration_of_carbonate_abiotic_analogue_expressed_as_carbon_in_sea_water,Abiotic Carbonate Ion Concentration,Omon,mol m-3,
fgco2,fgco2,surface_downward_mass_flux_of_carbon_dioxide_expressed_as_carbon,Surface Downward Flux of Total CO2,Oyr,kg m-2 s-1,
fgco2nat,fgco2nat,surface_downward_mass_flux_of_carbon_dioxide_natural_analogue_expressed_as_carbon,Surface Downward Flux of Natural CO2,Oyr,kg m-2 s-1,
fgco2abio,fgco2abio,surface_downward_mass_flux_of_carbon_dioxide_abiotic_analogue_expressed_as_carbon,Surface Downward Flux of Abiotic CO2,Oyr,kg m-2 s-1,
fg14co2abio,fg14co2abio,surface_downward_mass_flux_of_14C_dioxide_abiotic_analogue_expressed_as_carbon,Surface Downward Flux of Abiotic 14CO2,Oyr,kg m-2 s-1,
fg13co2,fg13co2,surface_downward_mass_flux_of_13C_dioxide_abiotic_analogue_expressed_as_13C,Surface Downward Flux of Abiotic 13CO2,Oyr,kg m-2 s-1,
ua,ua,eastward_wind,Eastward Wind,Emon,m s-1,
va,va,northward_wind,Northward Wind,Emon,m s-1,
flandice,flandice,water_flux_into_sea_water_from_land_ice,Water flux into Sea Water from Land Ice,Emon,kg m-2 s-1,
rss,rss,surface_net_downward_shortwave_flux,Net Shortwave Surface Radiation,Eday,W m-2,
rls,rls,surface_net_downward_longwave_flux,Net Longwave Surface Radiation,Eday,W m-2,
hfls,hfls,surface_upward_latent_heat_flux,Surface Upward Latent Heat Flux,Eday,W m-2,
hfss,hfss,surface_upward_sensible_heat_flux,Surface Upward Sensible Heat Flux,Eday,W m-2,
hfdsn,hfdsn,surface_downward_heat_flux_in_snow,Downward Heat Flux into Snow Where Land over Land,Eday,W m-2,
hfmlt,hfmlt,surface_snow_and_ice_melt_heat_flux,Energy of fusion,Eday,W m-2,
hfsbl,hfsbl,surface_upward_latent_heat_flux_due_to_sublimation,Energy of sublimation,Eday,W m-2,
tau,tau,magnitude_of_surface_downward_stress,Momentum flux,Eday,N m-2,
hfrs,hfrs,tendency_of_thermal_energy_content_of_surface_snow_due_to_rainfall_temperature_excess_above_freezing,Heat transferred to snowpack by rainfall,Eday,W m-2,
dtes,dtes,change_over_time_in_thermal_energy_content_of_vegetation_and_litter_and_soil,Change in surface heat storage,Eday,J m-2,
dtesn,dtesn,change_over_time_in_thermal_energy_content_of_ice_and_snow_on_land,Change in snow/ice cold content,Eday,J m-2,
tsns,tsns,surface_temperature,Snow Surface Temperature,Eday,K,
tcs,tcs,canopy_temperature,Vegetation Canopy Temperature,Eday,K,
tgs,tgs,surface_temperature,Temperature of bare soil,Eday,K,
tr,tr,surface_temperature,Surface Radiative Temperature,Eday,K,
albsn,albsn,surface_albedo,Snow Albedo,Eday,1,
albc,albc,canopy_albedo,Canopy Albedo,Eday,1,
cnc,cnc,vegetation_area_fraction,Canopy covered area percentage,Eday,%,
tsl,tsl,soil_temperature,Temperature of Soil,Eday,K,
tsn,tsn,temperature_in_surface_snow,Snow Internal Temperature,Eday,K,
clt,clt,cloud_area_fraction,Total Cloud Fraction,Eday,%,
prra,prra,rainfall_flux,Rainfall Flux over Land,Eday,kg m-2 s-1,
prrc,prrc,convective_rainfall_flux,Convective Rainfall rate,Eday,kg m-2 s-1,
prsnc,prsnc,convective_snowfall_flux,Convective Snowfall Flux,Eday,kg m-2 s-1,
prveg,prveg,precipitation_flux_onto_canopy,Precipitation onto Canopy,Eday,kg m-2 s-1,
evspsbl,evspsbl,water_evapotranspiration_flux,Evaporation including Sublimation and Transpiration,Eday,kg m-2 s-1,
ec,ec,water_evaporation_flux_from_canopy,Interception evaporation,Eday,kg m-2 s-1,
tran,tran,transpiration_flux,Transpiration,Eday,kg m-2 s-1,
es,es,water_evaporation_flux_from_soil,Bare soil evaporation,Eday,kg m-2 s-1,
eow,eow,surface_water_evaporation_flux,Open Water Evaporation,Eday,kg m-2 s-1,
esn,esn,water_evapotranspiration_flux,Snow Evaporation,Eday,kg m-2 s-1,
sbl,sbl,tendency_of_atmosphere_mass_content_of_water_vapor_due_to_sublimation_of_surface_snow_and_ice,Surface Snow and Ice Sublimation Flux,Eday,kg m-2 s-1,
sblnosn,sblnosn,tendency_of_atmosphere_mass_content_of_water_vapor_due_to_sublimation_of_surface_ice,Sublimation of the snow free area,Eday,kg m-2 s-1,
evspsblpot,evspsblpot,water_potential_evaporation_flux,Potential Evapotranspiration,Eday,kg m-2 s-1,
mrros,mrros,surface_runoff_flux,Surface Runoff,Eday,kg m-2 s-1,
mrrob,mrrob,subsurface_runoff_flux,Subsurface runoff,Eday,kg m-2 s-1,
snm,snm,surface_snow_melt_flux,Surface Snow Melt,Eday,kg m-2 s-1,
snrefr,snrefr,surface_snow_and_ice_refreezing_flux,Re-freezing of water in the snow,Eday,kg m-2 s-1,
snmsl,snmsl,liquid_water_mass_flux_into_soil_due_to_surface_snow_melt,Water flowing out of snowpack,Eday,kg m-2 s-1,
qgwr,qgwr,downward_liquid_water_mass_flux_into_groundwater,Groundwater recharge from soil layer,Eday,kg m-2 s-1,
rivo,rivo,outgoing_water_volume_transport_along_river_channel,River Discharge,Eday,m3 s-1,
rivi,rivi,incoming_water_volume_transport_along_river_channel,River Inflow,Eday,m3 s-1,
dslw,dslw,change_over_time_in_mass_content_of_water_in_soil,Change in soil moisture,Eday,kg m-2,
dsn,dsn,change_over_time_in_amount_of_ice_and_snow_on_land,Change in snow water equivalent,Eday,kg m-2,
dsw,dsw,change_over_time_in_land_water_amount,Change in Surface Water Storage,Eday,kg m-2,
dcw,dcw,change_over_time_in_canopy_water_amount,Change in Interception Storage,Eday,kg m-2,
dgw,dgw,change_over_time_in_groundwater_amount,Change in Groundwater,Eday,kg m-2,
drivw,drivw,change_over_time_in_river_water_amount,Change in River Storage,Eday,kg m-2,
rzwc,rzwc,mass_content_of_water_in_soil_layer_defined_by_root_depth,Root zone soil moisture,Eday,kg m-2,
cw,cw,canopy_water_amount,Total Canopy Water Storage,Eday,kg m-2,
snwc,snwc,canopy_snow_amount,SWE intercepted by the vegetation,Eday,kg m-2,
lwsnl,lwsnl,liquid_water_content_of_surface_snow,Liquid Water Content of Snow Layer,Eday,kg m-2,
sw,sw,land_surface_liquid_water_amount,Surface Water Storage,Eday,kg m-2,
mrsow,mrsow,volume_fraction_of_condensed_water_in_soil_at_field_capacity,Total Soil Wetness,Eday,1,
wtd,wtd,water_table_depth,Water table depth,Eday,m,
mrtws,mrtws,land_water_amount,Terrestrial Water Storage,Eday,kg m-2,
mrlqso,mrlqso,mass_fraction_of_unfrozen_water_in_soil_moisture,Average layer fraction of liquid moisture,Eday,1,
mrfsofr,mrfsofr,mass_fraction_of_frozen_water_in_soil_moisture,Average layer fraction of frozen moisture,Eday,1,
prrsn,prrsn,mass_fraction_of_rainfall_falling_onto_surface_snow,Fraction of rainfall on snow.,Eday,1,
prsnsn,prsnsn,mass_fraction_of_solid_precipitation_falling_onto_surface_snow,Fraction of snowfall (including hail and graupel) on snow.,Eday,1,
agesno,agesno,age_of_surface_snow,Snow Age,Eday,day,
sootsn,sootsn,soot_content_of_surface_snow,Snow Soot Content,Eday,kg m-2,
dmlt,dmlt,depth_at_shallowest_isotherm_defined_by_soil_temperature,Depth to soil thaw,Eday,m,
tpf,tpf,permafrost_layer_thickness,Permafrost Layer Thickness,Eday,m,
pflw,pflw,liquid_water_content_of_permafrost_layer,Liquid Water Content of Permafrost Layer,Eday,kg m-2,
ares,ares,aerodynamic_resistance,Aerodynamic resistance,Eday,s m-1,
nep,nep,surface_net_downward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_all_land_processes_excluding_anthropogenic_land_use_change,Net Carbon Mass Flux out of Atmophere due to Net Ecosystem Productivity on Land.,Emon,kg m-2 s-1,
fLuc,fLuc,surface_net_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_anthropogenic_land_use_change,Net Carbon Mass Flux into Atmosphere due to Land Use Change,Emon,kg m-2 s-1,
cWood,cWood,stem_mass_content_of_carbon,Carbon Mass in Wood,Emon,kg m-2,
cMisc,cMisc,miscellaneous_living_matter_mass_content_of_carbon,Carbon Mass in Other Living Compartments on Land,Emon,kg m-2,
gppLut,gppLut,gross_primary_productivity_of_biomass_expressed_as_carbon,gross primary productivity on land use tile,Emon,kg m-2 s-1,
raLut,raLut,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_plant_respiration,plant respiration on land use tile,Emon,kg m-2 s-1,
nppLut,nppLut,net_primary_productivity_of_biomass_expressed_as_carbon,net primary productivity on land use tile,Emon,kg m-2 s-1,
cTotFireLut,cTotFireLut,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_fires,"Total carbon loss from natural and managed fire on land use tile, including deforestation fires",Emon,kg m-2 s-1,
rhLut,rhLut,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_heterotrophic_respiration,soil heterotrophic respiration on land use tile,Emon,kg m-2 s-1,
necbLut,necbLut,surface_net_downward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_all_land_processes,net rate of C accumulation (or loss) on land use tile,Emon,kg m-2 s-1,
nwdFracLut,nwdFracLut,area_fraction,Non-woody Vegetation Percentage Cover,Emon,%,
tasLut,tasLut,air_temperature,"near-surface air temperature (2m above displacement height, i.e. t_ref) on land use tile",Emon,K,
tslsiLut,tslsiLut,surface_temperature,Surface Temperature on Landuse Tile,Emon,K,
hussLut,hussLut,specific_humidity,near-surface specific humidity on land use tile,Emon,1,
hflsLut,hflsLut,surface_upward_latent_heat_flux,latent heat flux on land use tile,Emon,W m-2,
hfssLut,hfssLut,surface_upward_sensible_heat_flux,sensible heat flux on land use tile,Emon,W m-2,
rsusLut,rsusLut,surface_upwelling_shortwave_flux_in_air,Surface Upwelling Shortwave  on Land Use Tile,Emon,W m-2,
rlusLut,rlusLut,surface_upwelling_longwave_flux_in_air,Surface Upwelling Longwave on Land Use Tile,Emon,W m-2,
sweLut,sweLut,lwe_thickness_of_surface_snow_amount,snow water equivalent on land use tile,Emon,m,
laiLut,laiLut,leaf_area_index,Leaf Area Index on Land Use Tile,Emon,1,
mrsosLut,mrsosLut,mass_content_of_water_in_soil_layer,Moisture in Upper Portion of Soil Column of land use tile,Emon,kg m-2,
mrroLut,mrroLut,runoff_flux,Total runoff from land use tile,Emon,kg m-2 s-1,
mrsoLut,mrsoLut,mass_content_of_water_in_soil,Total soil moisture,Emon,kg m-2,
cSoilLut,cSoilLut,soil_mass_content_of_carbon,carbon  in soil pool on land use tiles,Eyr,kg m-2,
cVegLut,cVegLut,vegetation_carbon_content,carbon in vegetation on land use tiles,Eyr,kg m-2,
cLitterLut,cLitterLut,litter_mass_content_of_carbon,carbon  in above and belowground litter pools on land use tiles,Eyr,kg m-2,
cSoil,cSoil,soil_mass_content_of_carbon,Carbon Mass in Soil Pool,Eyr,kg m-2,
cVeg,cVeg,vegetation_carbon_content,Carbon Mass in Vegetation,Eyr,kg m-2,
cLitter,cLitter,litter_mass_content_of_carbon,Carbon Mass in Litter Pool,Eyr,kg m-2,
fracOutLut,fracOutLut,area_fraction,Annual gross percentage of land use tile  that was transferred into other land use tiles,Eyr,%,
